Drill Listing
=============
Drill: .01575  Tool: 1  Feed: 95  Speed: 300
X 468381  Y 551379
X 638700  Y 556200
X 640846  Y 440686
X 771512  Y 425174
X 758980  Y 536730
X 768700  Y 548700
X 758700  Y 551200
X 783700  Y 553700
X 748700  Y 553700
X 843096  Y 535881
X 838700  Y 501200
X 796052  Y 434957
X 806660  Y 417823
X 871700  Y 422200
X 904700  Y 422200
X 871700  Y 444700
X 904700  Y 444700
X 888275  Y 450675
X 871700  Y 478700
X 904700  Y 478700
X 871700  Y 501200
X 904700  Y 501200
X 904700  Y 535700
X 871700  Y 535700
X 871700  Y 558200
X 904700  Y 558200
X 991613  Y 550428
X 942034  Y 486087
X 1012918  Y 458475

Drill: .01969  Tool: 2  Feed: 95  Speed: 300
X 1029198  Y 396697 X 1011667  Y 396697
X 1045839  Y 430892 X 1045839  Y 413360
X 1045818  Y 561667 X 1045818  Y 544136
X 1011686  Y 578327 X 1029217  Y 578327
X 439883  Y 578317 X 457415  Y 578317
X 423243  Y 544122 X 423243  Y 561654
X 423263  Y 413347 X 423263  Y 430878
X 457396  Y 396687 X 439865  Y 396687

Drill: .0315  Tool: 3  Feed: 197  Speed: 550
X 561334  Y 567700
X 584956  Y 567700
X 577082  Y 567700
X 569208  Y 567700
X 600704  Y 567700
X 592830  Y 567700
X 608578  Y 567700
X 616452  Y 567700
X 624326  Y 567700
X 632200  Y 567700
X 758834  Y 567700
X 750960  Y 567700
X 790330  Y 567700
X 782456  Y 567700
X 774582  Y 567700
X 766708  Y 567700
X 806078  Y 567700
X 798204  Y 567700
X 813952  Y 567700
X 829700  Y 567700
X 821826  Y 567700

Drill: .035  Tool: 4  Feed: 197  Speed: 550
X 443700  Y 408700
X 443700  Y 438700
X 416200  Y 481200
X 446200  Y 481200
X 446200  Y 493700
X 416200  Y 493700
X 448700  Y 531200
X 436200  Y 531200
X 448700  Y 561200
X 436200  Y 561200
X 463700  Y 566200
X 493700  Y 566200
X 496200  Y 546200
X 471200  Y 408700
X 501200  Y 408700
X 537200  Y 410700
X 558700  Y 426200
X 558700  Y 438700
X 556200  Y 448700
X 556200  Y 478700
X 563700  Y 488700
X 538700  Y 506200
X 541200  Y 533700
X 541200  Y 546200
X 526200  Y 546200
X 571200  Y 546200
X 571200  Y 533700
X 568700  Y 506200
X 593700  Y 488700
X 588700  Y 438700
X 588700  Y 426200
X 577200  Y 410700
X 673700  Y 406700
X 683700  Y 423700
X 688700  Y 513700
X 688700  Y 543700
X 648700  Y 558700
X 688700  Y 558700
X 701200  Y 543700
X 701200  Y 513700
X 696200  Y 496200
X 696200  Y 483700
X 696200  Y 473700
X 708700  Y 446200
X 696200  Y 443700
X 713700  Y 423700
X 713700  Y 406700
X 756200  Y 407200
X 716200  Y 433700
X 746200  Y 433700
X 738700  Y 446200
X 726200  Y 483700
X 726200  Y 496200
X 718700  Y 533700
X 748700  Y 533700
X 748700  Y 546200
X 718700  Y 546200
X 806700  Y 547700
X 836200  Y 441200
X 796200  Y 407200
X 836200  Y 401200
X 933700  Y 403700
X 933700  Y 443700
X 931200  Y 511200
X 931200  Y 541200
X 846700  Y 547700
X 931200  Y 551200
X 973700  Y 571200
X 983700  Y 561200
X 961200  Y 551200
X 973700  Y 541200
X 976200  Y 418700
X 966200  Y 406200
X 996200  Y 406200
X 1006200  Y 418700
X 1026200  Y 481200
X 1026200  Y 493700
X 1023700  Y 531200
X 1036200  Y 531200
X 1036200  Y 561200
X 1013700  Y 561200
X 1023700  Y 561200
X 1056200  Y 493700
X 1056200  Y 481200

Drill: .035  Tool: 5  Feed: 197  Speed: 550
X 488700  Y 503700
X 788200  Y 503700
X 639212  Y 503188
X 982700  Y 472700

Drill: .07087  Tool: 6  Feed: 81  Speed: 550
X 851200  Y 401200
X 851200  Y 458700
X 851200  Y 516200
X 851200  Y 573700
X 918700  Y 573700
X 918700  Y 516200
X 918700  Y 458700
X 918700  Y 401200

Drill: .11  Tool: 7  Feed: 69  Speed: 658
X 518700  Y 405200
X 518700  Y 569700
X 734700  Y 569700
X 734700  Y 405200
X 950200  Y 405200
X 950200  Y 569700

End of Listing
